geonameid	name	lat	lon	feature_code	admin1	admin2	population	timezone	modified
483642	Ten’gushevo	54.76878	42.72005	PPLA2	46		4231	Europe/Moscow	2024-05-14
483661	Temryuk	45.26885	37.39752	PPLA2	38		36546	Europe/Moscow	2024-09-12
483684	Temnikov	54.63059	43.21918	PPLA2	46		8252	Europe/Moscow	2024-05-14
483690	Tëmkino	55.08251	35.00877	PPLA2	69		0	Europe/Moscow	2023-02-10
483826	Tekstil’shchiki	55.70033	37.74271	PPLX	48		100000	Europe/Moscow	2020-06-10
483883	Tbilisskaya	45.36452	40.19679	PPLA2	38		24446	Europe/Moscow	2024-09-12
484017	Tatsinskaya	48.19448	41.27972	PPLA2	61		11258	Europe/Moscow	2024-09-12
484034	Tatishchevo	51.67277	45.5924	PPLA2	67		7377	Europe/Saratov	2025-07-16
484232	Tashla	51.77191	52.74104	PPLA2	55		6651	Asia/Yekaterinburg	2024-11-12
484287	Tarusa	54.72467	37.1722	PPLA2	25		10180	Europe/Moscow	2023-05-11
484290	Tarumovka	44.07611	46.53602	PPLA2	17		5245	Europe/Moscow	2023-10-06
484396	Tarasovskiy	48.7296	40.36392	PPLA2	61		8949	Europe/Moscow	2024-09-12
484646	Tambov	52.73632	41.44102	PPLA	72		293661	Europe/Moscow	2026-04-14
484747	Talovaya	51.11962	40.7251	PPLA2	86		13367	Europe/Moscow	2025-07-16
484826	Taldom	56.73097	37.52824	PPLA2	47		13112	Europe/Moscow	2023-07-11
484856	Agidel’	55.90867	53.93437	PPLA2	08		19217	Asia/Yekaterinburg	2024-12-12
484907	Taganrog	47.23627	38.9053	PPL	61		279056	Europe/Moscow	2024-11-12
484912	Taganskiy	55.73333	37.66667	PPLX	48		116000	Europe/Moscow	2014-01-31
484972	Syzran	53.1585	48.4681	PPL	65		189338	Europe/Samara	2023-05-20
485064	Syumsi	57.11108	51.61494	PPLA2	80		5582	Europe/Samara	2024-02-08
485239	Syktyvkar	61.66393	50.8163	PPLA	34	485241	245083	Europe/Moscow	2026-04-14
485280	Sychëvka	55.82956	34.27699	PPLA2	69		8510	Europe/Moscow	2023-02-10
485630	Sviblovo	55.85	37.63333	PPLX	48		60000	Europe/Moscow	2013-04-02
485643	Svetlyy Yar	48.47449	44.78504	PPLA2	84		13131	Europe/Volgograd	2024-09-12
485698	Svetlograd	45.32736	42.8562	PPLA2	70		39727	Europe/Moscow	2024-01-09
485699	Svetlogorsk	54.93987	20.15479	PPLA2	23	825115	11000	Europe/Kaliningrad	2019-09-05
485799	Svecha	58.27795	47.51226	PPLA2	33		4971	Europe/Kirov	2024-01-09
485824	Suzdal’	56.42408	40.44978	PPLA2	83		11183	Europe/Moscow	2023-09-06
485888	Suvorov	54.1223	36.49657	PPLA2	76		21059	Europe/Moscow	2023-05-11
486015	Susanino	58.15017	41.59428	PPLA2	37		3961	Europe/Moscow	2023-12-11
486043	Surskoye	54.48042	46.72114	PPLA2	81		7324	Europe/Ulyanovsk	2025-09-09
486071	Surovikino	48.60974	42.8569	PPLA2	84		20677	Europe/Volgograd	2024-09-12
486186	Suoyarvi	62.08807	32.37327	PPLA2	28		10833	Europe/Moscow	2023-12-11
486236	Suna	57.83233	50.0591	PPLA2	33		2400	Europe/Kirov	2024-01-09
486413	Suksun	57.14508	57.39514	PPLA2	90		8284	Asia/Yekaterinburg	2024-05-14
486665	Sukhinichi	54.09989	35.34254	PPLA2	25		16100	Europe/Moscow	2023-05-11
486816	Sudzha	51.191	35.271	PPLA2	41		6940	Europe/Moscow	2025-09-08
486834	Sudogda	55.95171	40.87354	PPLA2	83		13277	Europe/Moscow	2023-09-06
486848	Sudislavl’	57.88201	41.70745	PPLA2	37		5236	Europe/Moscow	2023-12-11
486968	Stupino	54.89735	38.06796	PPLA2	47		60999	Europe/Moscow	2023-07-11
487110	Strugi-Krasnyye	58.2707	29.11172	PPLA2	60		8518	Europe/Moscow	2023-06-14
487147	Stroitel	50.78816	36.47751	PPLA2	09		18636	Europe/Moscow	2023-06-03
487150	Strogino	55.81838	37.41224	PPLX	48		152000	Europe/Moscow	2013-04-02
487495	Sterlitamak	53.63793	55.9533	PPLA2	08		267231	Asia/Yekaterinburg	2024-12-12
487498	Sterlibashevo	53.43795	55.25726	PPLA2	08		5786	Asia/Yekaterinburg	2024-12-12
487543	Stepnoye	51.37985	46.84885	PPLA2	67		14035	Europe/Saratov	2025-07-16
487551	Stepnoye	44.26982	44.5819	PPLA2	70	487592	5600	Europe/Moscow	2024-01-29
487846	Stavropol	45.03442	41.9642	PPLA	70		433931	Europe/Moscow	2026-04-14
487928	Staryy Oskol	51.3025	37.84613	PPLA2	09		226977	Europe/Moscow	2024-10-11
487944	Anzorey	43.35582	43.94143	PPLA2	22		0	Europe/Moscow	2024-01-09
488081	Maloyaz	55.17772	58.15613	PPLA2	08		0	Asia/Yekaterinburg	2024-12-12
488206	Starozhilovo	54.23296	39.9093	PPLA2	62		5147	Europe/Moscow	2023-06-14
488214	Staroyur’yevo	53.31949	40.70227	PPLA2	72		6900	Europe/Moscow	2024-04-20
488466	Staroye Drozhzhanoye	54.72384	47.55652	PPLA2	73		3338	Europe/Moscow	2025-09-09
488618	Starosubkhangulovo	53.10375	57.42873	PPLA2	08		4351	Asia/Yekaterinburg	2024-12-12
488635	Staroshcherbinovskaya	46.63033	38.66379	PPLA2	38		18785	Europe/Moscow	2024-09-12
488638	Staroye Shaygovo	54.30613	44.47343	PPLA2	46		0	Europe/Moscow	2024-05-14
488742	Starominskaya	46.53094	39.05163	PPLA2	38		30461	Europe/Moscow	2024-09-12
488852	Starodub	52.58501	32.76314	PPLA2	10		18539	Europe/Moscow	2023-04-05
488881	Starobaltachevo	56.0014	55.91644	PPLA2	08		5612	Asia/Yekaterinburg	2024-12-12
488946	Staritsa	56.50542	34.93396	PPLA2	77		9134	Europe/Moscow	2023-05-11
489088	Staraya Russa	57.99618	31.36003	PPLA2	52		34303	Europe/Moscow	2023-09-06
489102	Staraya Poltavka	50.47683	46.48275	PPLA2	84		4068	Europe/Volgograd	2024-09-12
489135	Staraya Mayna	54.60596	48.92487	PPLA2	81		6927	Europe/Ulyanovsk	2025-09-09
489164	Staraya Kulatka	52.72932	47.62145	PPLA2	81		6022	Europe/Ulyanovsk	2025-09-09
489290	Stanovoye	52.76115	38.3439	PPLA2	43		5211	Europe/Moscow	2023-12-11
489446	Srednyaya Akhtuba	48.71004	44.86723	PPLA2	84		13887	Europe/Volgograd	2024-09-12
489686	Spirovo	57.41963	34.98102	PPLA2	77		6640	Europe/Moscow	2023-05-11
489741	Spassk-Ryazanskiy	54.40844	40.37664	PPLA2	62		8655	Europe/Moscow	2023-06-14
489778	Spasskoye	55.85811	45.69608	PPLA2	51		4023	Europe/Moscow	2023-12-11
489862	Spas-Klepiki	55.13758	40.17997	PPLA2	62		5942	Europe/Moscow	2023-06-14
489868	Spas-Demensk	54.41222	34.02257	PPLA2	25		5114	Europe/Moscow	2023-05-11
489994	Ketchenery	47.30818	44.5238	PPLA2	24		3834	Europe/Moscow	2024-08-11
489997	Kashkhatau	43.3169	43.60774	PPLA2	22		5367	Europe/Moscow	2019-11-05
489998	Shatoy	42.87153	45.69092	PPLA2	12		1775	Europe/Moscow	2023-12-11
489999	Khebda	42.44539	46.55161	PPLA2	17		2749	Europe/Moscow	2023-10-06
490040	Sovetskiy	56.76209	48.47568	PPLA2	45		10674	Europe/Moscow	2023-12-11
490064	Sovetskaya	49.0093	42.12152	PPLA2	61		2293	Europe/Moscow	2024-09-12
490067	Sovetsk	57.58937	48.95525	PPLA2	33		17869	Europe/Kirov	2024-01-09
490068	Sovetsk	55.08392	21.87851	PPLA2	23		43309	Europe/Kaliningrad	2025-03-26
490172	Sosnovyy Bor	59.8996	29.08574	PPL	42		68563	Europe/Moscow	2023-06-11
490196	Sosnovskoye	55.80623	43.1719	PPLA2	51	490199	8207	Europe/Moscow	2023-12-11
490323	Sosnovka	53.23088	41.36562	PPLA2	72		10475	Europe/Moscow	2024-04-20
490391	Sosnogorsk	63.59669	53.89178	PPLA2	34		29343	Europe/Moscow	2024-05-14
490425	Soskovo	52.74752	35.38277	PPLA2	56		2094	Europe/Moscow	2023-05-11
490554	Sorochinsk	52.42882	53.15025	PPLA2	55		30731	Asia/Yekaterinburg	2024-11-12
490637	Sonkovo	57.78184	37.16458	PPLA2	77		4431	Europe/Moscow	2023-05-11
490750	Sol’tsy	58.12229	30.31831	PPLA2	52		10625	Europe/Moscow	2023-09-06
490971	Solntsevo	55.63711	37.38115	PPLX	48		120000	Europe/Moscow	2012-09-20
